FIPS,state,state_fips,county,tract,geoid,area_name,area_land,total_pop,housing_units,owner_occupied_housing_units,persons_no_health_insurance,families,families_income_below_poverty_level,median_household_income,nh_white_alone,nh_black_or_african_american_alone,nh_american_indian_and_alaska_native_alone,nh_asian_alone,nh_native_hawaiian_and_other_pacific_islander_alone,nh_other,nh_two_or_more,hispanic_or_latino,households_receiving_assistance,households,pct_owner_occupied,pct_no_health_insurance,pct_families_income_below_poverty_level,pct_households_receiving_assistance,pct_nh_white_alone,pct_nh_black_or_african_american_alone,pct_nh_american_indian_and_alaska_native_alone,pct_nh_asian_alone,pct_nh_native_hawaiian_and_other_pacific_islander_alone,pct_nh_other,pct_nh_two_or_more,pct_hispanic_or_latino
06001405901,ca,06,001,405901,14000US06001405901,Census Tract 4059.01,0.174749072196474,4175,1206,287,370,951,209,55945,176,449,43,1466,46,0,73,1922,1038,1111,0.23797678275290216,0.08862275449101796,0.21976866456361724,0.9342934293429342,0.04215568862275449,0.10754491017964071,0.01029940119760479,0.3511377245508982,0.011017964071856288,0.0,0.01748502994011976,0.46035928143712573
06001405902,ca,06,001,405902,14000US06001405902,Census Tract 4059.02,0.188139867829503,3063,1059,318,222,605,121,60478,424,323,25,1187,0,45,225,834,621,941,0.3002832861189802,0.07247796278158668,0.2,0.6599362380446334,0.13842637936663402,0.10545217107411035,0.008161932745674175,0.38752856676460984,0.0,0.014691478942213516,0.07345739471106758,0.2722820763956905
06001406000,ca,06,001,406000,14000US06001406000,Census Tract 4060,0.816084476067071,4288,1853,276,275,907,73,53333,925,614,3,1761,14,29,111,831,776,1728,0.1489476524554776,0.06413246268656717,0.0804851157662624,0.44907407407407407,0.21571828358208955,0.14319029850746268,0.0006996268656716418,0.41068097014925375,0.0032649253731343282,0.006763059701492537,0.025886194029850745,0.19379664179104478
06001406100,ca,06,001,406100,14000US06001406100,Census Tract 4061,0.711988240872159,5072,1872,601,552,890,111,54560,673,441,0,1195,7,0,130,2626,836,1666,0.32104700854700857,0.10883280757097792,0.12471910112359551,0.5018007202881153,0.13268927444794953,0.08694794952681388,0.0,0.23560725552050474,0.0013801261829652998,0.0,0.025630914826498423,0.5177444794952681
06001406201,ca,06,001,406201,14000US06001406201,Census Tract 4062.01,0.157554397935434,5134,1633,279,678,1021,231,56702,254,976,3,1501,0,0,18,2382,1419,1551,0.17085119412124924,0.1320607713283989,0.22624877571008814,0.9148936170212766,0.04947409427347098,0.1901051811453058,0.000584339696143358,0.2923646279703935,0.0,0.0,0.003506038176860148,0.46396571873782627
06001406202,ca,06,001,406202,14000US06001406202,Census Tract 4062.02,0.151422709294406,4947,1431,154,886,924,239,51591,487,638,23,677,0,32,76,3014,1258,1316,0.10761705101327743,0.1790984435011118,0.25865800865800864,0.9559270516717325,0.09844350111178492,0.12896705073782092,0.004649282393369719,0.13685061653527392,0.0,0.006468566808166565,0.015362846169395592,0.6092581362441883
06001406300,ca,06,001,406300,14000US06001406300,Census Tract 4063,0.187535617925643,4557,1428,547,285,1094,236,50259,470,956,16,911,76,195,234,1699,1165,1344,0.38305322128851543,0.06254114549045425,0.21572212065813529,0.8668154761904762,0.10313802940531051,0.2097871406627167,0.003511081852095677,0.19991222295369762,0.016677638797454465,0.042791310072416065,0.051349572086899276,0.3728330041694097
06001406400,ca,06,001,406400,14000US06001406400,Census Tract 4064,0.188409753249822,2559,865,328,70,465,29,58125,628,445,6,439,62,0,131,848,515,818,0.3791907514450867,0.027354435326299335,0.06236559139784946,0.6295843520782396,0.24540836264165689,0.17389605314576007,0.0023446658851113715,0.1715513872606487,0.02422821414615084,0.0,0.051191871824931616,0.3313794450957405
06001406500,ca,06,001,406500,14000US06001406500,Census Tract 4065,0.287652298002925,6342,2052,575,454,1217,179,60774,797,977,0,1275,231,0,165,2897,1556,1882,0.2802144249512671,0.07158625039419741,0.14708299096138044,0.8267800212539851,0.12567013560391044,0.15405234941658782,0.0,0.2010406811731315,0.03642384105960265,0.0,0.026017029328287606,0.45679596341848
06001406601,ca,06,001,406601,14000US06001406601,Census Tract 4066.01,0.288573923894628,4740,1856,680,460,1032,80,64271,989,1084,69,959,0,32,203,1404,815,1817,0.36637931034482757,0.0970464135021097,0.07751937984496124,0.44854155200880574,0.20864978902953588,0.22869198312236286,0.014556962025316455,0.20232067510548524,0.0,0.006751054852320675,0.042827004219409284,0.29620253164556964
06001406602,ca,06,001,406602,14000US06001406602,Census Tract 4066.02,0.160125838420873,2800,1030,301,226,630,63,51813,367,592,18,890,0,0,181,752,669,973,0.2922330097087379,0.08071428571428571,0.1,0.6875642343268242,0.13107142857142856,0.21142857142857144,0.0064285714285714285,0.31785714285714284,0.0,0.0,0.06464285714285714,0.26857142857142857
06001406700,ca,06,001,406700,14000US06001406700,Census Tract 4067,0.650090656790688,5571,2296,1491,213,1216,0,129519,2442,520,1,1074,261,67,314,892,819,2100,0.649390243902439,0.03823371028540657,0.0,0.39,0.43834141087775985,0.09334051337282355,0.0001795009872554299,0.19278406031233172,0.046849757673667204,0.012026566146113804,0.05636330999820499,0.16011488063184348
06001406800,ca,06,001,406800,14000US06001406800,Census Tract 4068,0.352328659437804,3925,1522,981,30,953,29,128299,1079,692,10,837,7,143,241,916,896,1373,0.6445466491458607,0.007643312101910828,0.030430220356768102,0.6525855790240349,0.2749044585987261,0.17630573248407644,0.0025477707006369425,0.2132484076433121,0.0017834394904458599,0.03643312101910828,0.06140127388535032,0.23337579617834395
06001406900,ca,06,001,406900,14000US06001406900,Census Tract 4069,0.337116233743168,3963,1626,927,150,932,110,124732,1439,716,0,1080,37,12,308,371,703,1527,0.5701107011070111,0.03785011355034065,0.11802575107296137,0.46037982973149966,0.36310875599293463,0.1806712086802927,0.0,0.27252081756245267,0.009336361342417361,0.003028009084027252,0.07771889982336613,0.0936159475145092
06001407000,ca,06,001,407000,14000US06001407000,Census Tract 4070,0.333181466477837,5986,2158,985,710,1408,51,76296,1093,909,52,1088,0,74,546,2224,1365,1982,0.45644114921223355,0.11861009021049114,0.03622159090909091,0.6886982845610494,0.1825927163381223,0.1518543267624457,0.008686936184430337,0.18175743401269628,0.0,0.012362178416304711,0.09121282993651854,0.37153357834948214
